d,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
1.062,400,0.025,1900,0.249714876,0.005622356,10.12554508,0.305746035,1.137316288,8.98822879,0.820543337,0.599705519
0.708,400,0.025,1900,0.282470866,0.000377308,8.601806606,0.210170946,1.18740544,7.414401165,0.88962,0.510556434
0.354,400,0.025,1900,0.351973956,1.08E-07,5.585789925,0.10317084,1.110755463,4.475034462,0.95211052,0.352984316
5.31,400,0.1,1900,0.157723103,0.099018386,12.16045736,0.948929593,1.162732169,10.99772519,0.417316173,0.744130649
4.956,400,0.1,1900,0.160739207,0.080642234,12.38404247,0.936602287,1.107946346,11.27609613,0.449174432,0.757269254
4.602,400,0.1,1900,0.164053252,0.062813974,12.5938547,0.920312144,1.048484806,11.5453699,0.486432128,0.769450018
4.248,400,0.1,1900,0.167721793,0.046114337,12.77831955,0.898710903,0.986580596,11.79173895,0.529751919,0.779927869
3.894,400,0.1,1900,0.171818166,0.031256666,12.92188164,0.870149935,0.926238715,11.99564292,0.579411729,0.787702861
3.54,400,0.1,1900,0.176439614,0.018996309,13.00537196,0.832829302,0.873568283,12.13180368,0.634873615,0.791542628
3.186,400,0.1,1900,0.181718539,0.009928659,13.00815253,0.785185544,0.836365988,12.17178654,0.694288241,0.790120152
2.832,400,0.1,1900,0.187841081,0.004202126,12.91208943,0.726488057,0.822323451,12.08976598,0.754266595,0.782270127
2.478,400,0.1,1900,0.195079461,0.001317266,12.70490912,0.657364083,0.836022462,11.86888665,0.810447238,0.767216433
2.124,400,0.1,1900,0.203852183,0.000265876,12.37713973,0.579669056,0.876670885,11.50046885,0.858997336,0.744411372
1.77,400,0.1,1900,0.214846077,2.71E-05,11.90857335,0.495537914,0.939146076,10.96942727,0.898227701,0.712754606
1.416,400,0.1,1900,0.229293694,8.72E-07,11.24351,0.406231288,1.017512851,10.22599715,0.928860533,0.669235538
1.062,400,0.1,1900,0.249714876,2.96E-09,10.2508405,0.311764934,1.104908308,9.145932187,0.95285849,0.607067445
0.708,400,0.1,1900,0.282470866,4.11E-14,8.627129156,0.211253133,1.178192195,7.448936962,0.972120253,0.51196742
0.354,400,0.1,1900,0.351973956,1.92E-28,5.592953743,0.103358376,1.108566877,4.484386866,0.987999636,0.353332422
5.31,400,0.025,2200,0.157723103,0.315584645,9.305334221,0.64762092,0.791869444,8.513464777,0.412018837,0.570109217
4.956,400,0.025,2200,0.160739207,0.293732737,9.546405022,0.635932627,0.809037763,8.737367259,0.427835087,0.584175562
4.602,400,0.025,2200,0.164053252,0.270371408,9.796963596,0.622709991,0.827242303,8.969721292,0.445441443,0.598704357
4.248,400,0.025,2200,0.167721793,0.245413311,10.05534012,0.607636567,0.846575817,9.208764299,0.465157827,0.61357014
3.894,400,0.025,2200,0.171818166,0.218804208,10.31854275,0.590308409,0.867147137,9.451395609,0.487377853,0.628555222
3.54,400,0.025,2200,0.176439614,0.190554854,10.58116943,0.570204556,0.889093596,9.692075832,0.512586466,0.643295956
3.186,400,0.025,2200,0.181718539,0.160795347,10.83422944,0.546648539,0.912605996,9.921623446,0.541378468,0.657196211
2.832,400,0.025,2200,0.187841081,0.129864297,11.06271937,0.518757357,0.937982585,10.12473679,0.574472544,0.669287471
2.478,400,0.025,2200,0.195079461,0.098452065,11.24183009,0.485384066,0.965742546,10.27608754,0.612706016,0.678002555
2.124,400,0.025,2200,0.203852183,0.06781018,11.33064457,0.445063019,0.9968538,10.33379077,0.656971878,0.680812669
1.77,400,0.025,2200,0.214846077,0.039997779,11.26193255,0.396019808,1.03313523,10.22879732,0.708014968,0.673670655
1.416,400,0.025,2200,0.229293694,0.01795019,10.92603015,0.336370078,1.077648759,9.848381388,0.765922166,0.650222396
1.062,400,0.025,2200,0.249714876,0.004657178,10.14435998,0.264773059,1.133150652,9.011209325,0.829125287,0.6008067
0.708,400,0.025,2200,0.282470866,0.000309092,8.604489463,0.181601888,1.186532515,7.417956948,0.893318464,0.510705779
0.354,400,0.025,2200,0.351973956,8.91E-08,5.585981916,0.089106412,1.110696531,4.475285385,0.952844684,0.352993635
5.31,400,0.1,2200,0.157723103,0.066943817,12.76298472,0.895939185,0.97491964,11.78806508,0.498061953,0.782305146
4.956,400,0.1,2200,0.160739207,0.052381867,12.92780065,0.876377127,0.92891902,11.99888163,0.532706518,0.791738105
