h3,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
45,400,0.025,2500,0.205375054,0.082209166,11.37079239,0.411158229,1.116220463,10.25457192,0.656535606,0.684292764
50,400,0.025,2500,0.207681864,0.075921249,11.37853613,0.402747262,1.135864553,10.24267157,0.665925191,0.684171755
100,400,0.025,2500,0.22365027,0.995268775,0.053132969,0.75663612,0.009877065,0.043255903,0.224914852,0.003168823
1,400,0.1,2500,0.158186003,0.989315423,0.059596354,0.99783042,0.008315473,0.051280881,0.158577985,0.004057082
5,400,0.1,2500,0.168266695,0.008386926,13.41635524,0.740762888,0.644293024,12.77206222,0.681647389,0.820255504
10,400,0.1,2500,0.176439614,0.00571195,13.31455434,0.664422025,0.739829779,12.57472456,0.753984492,0.8112266
15,400,0.1,2500,0.18317042,0.003195757,13.17866582,0.611666083,0.797052325,12.38161349,0.7955637,0.8008934
20,400,0.1,2500,0.188598461,0.001822719,13.04606125,0.572653393,0.844448239,12.20161301,0.82240444,0.791197947
25,400,0.1,2500,0.193033568,0.001089073,12.92360998,0.542248294,0.885248074,12.0383619,0.841223842,0.782420124
30,400,0.1,2500,0.196765875,0.000680225,12.81179871,0.517624723,0.920898531,11.89090018,0.855215254,0.77450547
35,400,0.1,2500,0.199989441,0.000441303,12.7095778,0.497102552,0.952422975,11.75715482,0.866075939,0.767335821
40,400,0.1,2500,0.202830779,0.000295615,12.61565517,0.479616418,0.98060328,11.63505189,0.874788509,0.760795977
45,400,0.1,2500,0.205375054,0.000203462,12.52884438,0.464454356,1.006031225,11.52281316,0.881960103,0.754788089
50,400,0.1,2500,0.207681864,0.000143317,12.44813987,0.451120335,1.029163073,11.4189768,0.887987084,0.749232356
100,400,0.1,2500,0.22365027,0.992645923,0.077723942,0.996451398,0.023022744,0.054701199,0.224456994,0.004622248
1,400,0.025,2800,0.158186003,0.995890948,0.034036079,0.74592716,0.002499536,0.031536543,0.158811975,0.002190217
5,400,0.025,2800,0.168266695,0.179065833,10.70801979,0.50321643,0.744000603,9.964019183,0.50471186,0.653950706
10,400,0.025,2800,0.176439614,0.162852636,10.99532107,0.470356214,0.861603701,10.13371737,0.547361135,0.668761353
15,400,0.025,2800,0.18317042,0.142054072,11.17248859,0.44667941,0.920287523,10.25220107,0.577414584,0.677891963
20,400,0.025,2800,0.188598461,0.124677436,11.28743755,0.42824823,0.964927131,10.32251042,0.600353123,0.683553879
25,400,0.025,2800,0.193033568,0.110684274,11.3627943,0.41317804,1.002097519,10.36069678,0.618795789,0.687016002
30,400,0.025,2800,0.196765875,0.099298001,11.41177053,0.400437805,1.033920111,10.37785042,0.634163935,0.689030107
35,400,0.025,2800,0.199989441,0.089872657,11.44255855,0.389409665,1.061665099,10.38089345,0.647302581,0.690060848
40,400,0.025,2800,0.202830779,0.081942897,11.46040567,0.379693479,1.086211283,10.37419439,0.658750856,0.690402659
45,400,0.025,2800,0.205375054,0.07517641,11.46881733,0.371016032,1.108189805,10.36062753,0.668874949,0.690250835
50,400,0.025,2800,0.207681864,0.069332549,11.47019116,0.363181472,1.128067799,10.34212336,0.677933327,0.689737704
100,400,0.025,2800,0.22365027,0.995011701,0.05615228,0.716814109,0.010212816,0.045939465,0.225029964,0.003349297
1,400,0.1,2800,0.158186003,0.988984979,0.063773165,0.99581036,0.008432837,0.055340328,0.158651859,0.004313403
5,400,0.1,2800,0.168266695,0.005521715,13.52046494,0.672891459,0.607853734,12.91261121,0.722856686,0.826894545
10,400,0.1,2800,0.176439614,0.003591252,13.3660133,0.598207166,0.716476155,12.64953714,0.784685673,0.814517961
15,400,0.1,2800,0.18317042,0.001960609,13.20682536,0.548680988,0.78300316,12.4238222,0.819379604,0.802692966
20,400,0.1,2800,0.188598461,0.001101689,13.06275485,0.512767012,0.835467091,12.22728776,0.841666513,0.79226523
25,400,0.1,2800,0.193033568,0.000651725,12.93417778,0.485070277,0.87916053,12.05501725,0.857325404,0.783096649
30,400,0.1,2800,0.196765875,0.000404183,12.81885936,0.462778511,0.916572493,11.90228687,0.869022128,0.774958272
